Star,m,M,Sp,r
α Eri,0.5,-2.2,B5,
α Cru,0.9,-3.5,B2,
α Tau,0.9,-0.7,K5,
α Aur,0.1,-0.6,G8,
β Ori,0.1,-7.0,B8,
α Ori,0.8,-6.0,M2,
α Car,-0.7,-4.7,F0,
α CMa,-1.5,1.4,A1,
ε CMa,1.5,-5.0,B2,
α CMi,0.4,2.7,F5,
β Gem,1.2,1.0,K0,
α Leo,1.4,-0.6,B7,
α Cen,-0.1,4.3,G2,
α Sco,1.0,-4.7,M1,
α Lyr,0.0,0.5,A0,
α Aql,0.8,2.3,A7,
α Cyg,1.3,-7.3,A2,
α PsA,1.2,1.9,A3,
β Cru,0.9,-4.7,B0,
α Vir,1.0,-3.4,B1,
β Cen,0.6,-5.0,B1,
α Boo,-0.1,-0.2,K2,
