Plx,Gmag,BP-RP
7.5953,17.8680,3.3720
7.5963,16.6774,2.7687
7.5968,12.3069,1.3472
7.5971,16.4311,2.8549
7.5983,17.4116,3.0756
7.6001,8.0035,0.2860
7.6007,15.1486,2.5441
7.6019,17.5160,3.0118
7.6034,16.8737,3.0225
7.6036,11.5886,1.1176
7.6049,7.7321,0.2205
7.6055,16.3858,2.9487
7.6058,17.4762,3.1974
7.6078,13.3196,1.7250
7.6097,17.0927,3.0676
7.6127,17.8259,3.1783
7.6131,11.9942,1.2362
7.6137,16.3558,2.8906
7.6152,17.7203,2.7013
7.6174,16.2298,2.8757
7.6179,16.4987,2.9513
7.6212,16.8753,3.0793
7.6221,15.7623,2.7205
7.6224,17.6215,3.2326
7.6236,11.1053,1.0127
7.6240,16.5146,2.9534
7.6283,16.8317,3.1391
7.6285,15.2080,2.4383
7.6321,13.5903,1.9442
7.6328,16.7137,3.0165
7.6365,16.4927,2.9682
7.6380,15.0879,2.5018
7.6419,10.6273,1.0562
7.6421,17.2902,3.1892
7.6445,14.8066,2.5330
7.6453,11.8239,1.1916
7.6465,16.7495,3.0898
7.6494,13.5532,1.8502
7.6494,15.8107,2.8248
7.6507,17.0301,3.3326
7.6547,13.4865,1.8475
7.6550,17.2605,3.1590
7.6559,15.7740,2.7659
7.6577,17.0955,3.1795
7.6597,7.0868,0.0465
7.6601,16.3217,2.9538
7.6605,16.2039,3.1085
7.6643,15.9540,2.8708
7.6645,15.6446,2.6676
7.6651,17.3402,3.1231
7.6651,17.7669,3.2057
7.6676,15.0077,2.6977
7.6685,14.5802,2.3081
7.6696,15.0111,2.4895
7.6725,17.1057,3.1618
7.6728,12.8665,1.5926
7.6756,10.5682,0.8718
7.6759,16.9022,2.9606
7.6785,16.3204,2.9114
7.6806,16.6139,-0.4306
7.6812,17.6830,3.3398
7.6831,16.4450,2.9181
7.6832,17.6731,3.3680
7.6843,17.3999,3.2107
7.6867,17.2621,3.0100
7.6870,13.3333,1.7308
7.6882,17.9572,2.7209
7.6905,13.8047,1.9376
7.6911,17.3584,3.1685
7.6922,17.4390,3.3684
7.6948,12.1847,1.3641
7.6955,13.4514,1.8584
7.6960,15.7656,2.9543
7.6961,16.1074,2.9340
7.7000,17.2742,3.1743
7.7030,12.2239,1.3712
7.7159,16.0683,2.8921
7.7165,17.3775,3.2014
7.7170,14.9229,2.5097
7.7190,17.0883,3.0765
7.7195,9.7065,0.7181
7.7224,5.4132,-0.0773
7.7227,17.2341,3.1292
7.7228,17.5492,3.3487
7.7229,5.1857,-0.0434
7.7244,14.7757,2.2833
7.7277,16.7199,2.6824
7.7291,16.5508,2.9924
7.7293,16.7860,3.0200
7.7331,13.5195,1.7954
7.7347,17.1757,3.1862
7.7423,17.9117,3.3531
7.7448,17.2325,3.2234
7.7457,16.2850,2.9103
7.7578,14.7948,2.5000
7.7579,16.1559,2.6982
7.7673,16.6318,2.9944
7.7688,14.8795,2.4395
7.7709,16.9698,3.2811
7.7712,17.7472,3.2975
7.7717,9.4255,0.6946
7.7727,15.1056,2.5177
7.7787,14.0867,2.3300
7.7802,16.5512,3.0859
7.7803,11.0756,1.1019
7.7823,16.8360,3.0754
7.7826,15.4879,2.6232
7.7857,12.1380,1.2945
7.7865,11.0228,1.0076
7.8083,13.9547,2.0390
7.8254,15.5553,2.6910
7.8283,9.8363,0.7519
7.8383,17.7246,3.2306
7.8403,17.9554,3.2812
7.8417,17.6565,3.5788
7.8445,17.2295,3.1439
7.8467,16.8099,3.1994
7.8503,16.7181,3.0508
7.8556,17.0427,3.1366
