Plx,Gmag,BP-RP
7.1850,10.8513,1.1249
7.1858,15.6933,2.6978
7.1863,10.5871,1.0486
7.1867,12.5158,1.4484
7.1872,15.6372,2.9514
7.1875,17.3321,2.6410
7.1880,15.5662,2.6839
7.1892,9.4283,0.7217
7.1896,16.0822,2.8115
7.1901,17.0724,3.1032
7.1905,8.3242,0.3918
7.1911,16.1870,3.1345
7.1916,10.7479,0.8951
7.1922,9.9271,0.7874
7.1930,17.2379,2.9765
7.1931,10.3434,0.8398
7.1931,17.3734,3.1132
7.1935,16.9587,3.0755
7.1936,17.5133,3.0711
7.1938,15.8593,3.0270
7.1946,17.9392,3.4311
7.1949,17.0543,3.1433
7.1950,9.3630,0.6654
7.1951,15.5539,2.6339
7.1953,15.9935,2.3230
7.1958,7.2732,0.0499
7.1960,12.7361,1.4439
7.1966,16.4991,2.8170
7.1991,16.8916,3.0543
7.2011,14.1593,1.2758
7.2013,17.3246,3.1689
7.2014,15.1090,2.4991
7.2029,17.4670,3.2511
7.2033,16.5139,3.0669
7.2044,13.5076,1.7419
7.2049,16.3547,3.1322
7.2052,10.8661,0.9323
7.2054,11.3411,1.0337
7.2060,16.0041,2.8400
7.2063,16.8478,2.9941
7.2070,14.8107,2.5405
7.2080,16.6720,3.1000
7.2087,14.4761,2.2304
7.2091,10.4206,1.0410
7.2094,17.4708,3.4657
7.2095,13.2577,1.6516
7.2099,9.2998,0.6648
7.2102,17.2020,2.9095
7.2130,16.9171,3.0992
7.2133,14.7251,2.5805
7.2144,13.3195,1.6692
7.2146,15.7159,2.3638
7.2147,12.0873,1.5522
7.2150,14.4409,2.5287
7.2153,17.5839,2.9950
7.2167,17.2195,3.1979
7.2178,16.5432,2.8320
7.2178,7.3391,0.1410
7.2190,17.0068,2.8818
7.2192,16.9198,3.2154
7.2209,11.9680,1.4366
7.2215,8.7778,0.5039
7.2216,10.8234,0.9962
7.2225,13.5028,1.7260
7.2227,12.2080,1.3232
7.2229,16.0225,3.0400
7.2232,16.5180,2.9137
7.2237,17.2203,3.1267
7.2241,16.2621,2.7683
7.2256,14.9126,2.4243
7.2257,12.7481,1.4749
7.2260,7.8181,0.2740
7.2260,17.1758,3.0966
7.2266,11.2265,1.0382
7.2268,16.3300,2.9426
7.2270,16.2008,2.8171
7.2271,8.0819,0.2813
7.2273,17.7957,3.3058
7.2278,15.2763,2.5021
7.2283,13.3608,2.0514
7.2283,17.2010,3.0844
7.2286,12.4617,1.3796
7.2286,13.1388,1.6823
7.2290,16.6046,2.9159
7.2295,15.4167,2.5668
7.2298,13.3224,1.6926
7.2299,9.1032,0.6594
7.2300,17.2243,0.6553
7.2302,15.5947,2.7187
7.2306,17.8137,3.4391
7.2328,11.1563,1.0758
7.2347,15.7252,2.7286
7.2353,11.2033,1.0737
7.2360,15.4095,2.5438
7.2362,16.8636,3.1335
7.2372,15.4094,2.5989
7.2375,16.1397,2.8432
7.2380,15.1120,2.4926
7.2381,12.3724,1.3064
7.2383,16.3001,2.9092
7.2389,14.4757,2.2047
7.2401,13.4078,1.9863
7.2402,11.8556,1.1798
7.2405,11.5117,1.1248
7.2405,17.8992,3.3241
7.2406,16.5624,3.1886
7.2419,15.0324,2.3722
7.2423,16.6825,2.9530
7.2425,14.2380,2.1060
7.2428,16.2814,2.9243
7.2435,11.2191,1.0234
7.2439,16.4762,2.9776
7.2455,12.6328,1.4818
7.2457,16.6118,2.8934
7.2462,13.1315,1.5965
7.2471,16.8582,3.2622
7.2472,16.2617,2.8967
7.2480,15.0937,2.3773
7.2483,14.5087,2.2149
7.2483,10.2034,0.8477
7.2484,9.9338,0.7501
7.2485,15.7516,2.7526
7.2493,17.3445,3.4306
7.2499,10.9103,0.9340
7.2508,15.3463,2.5112
7.2512,16.1775,2.8555
7.2522,16.8186,2.9556
7.2524,17.0236,3.2870
7.2528,16.6799,3.3297
7.2534,9.5184,0.6872
7.2538,12.4656,1.3822
7.2541,13.7161,1.8323
7.2541,8.8772,0.5548
7.2544,16.5333,2.9033
7.2558,17.1309,3.2309
7.2572,16.7279,2.9506
7.2573,13.1120,1.6130
7.2581,16.8282,2.8170
7.2581,12.5949,1.5945
7.2586,12.8660,1.5621
7.2587,14.5286,2.4939
7.2589,14.1021,2.0403
7.2607,9.4268,0.6881
7.2607,13.7607,1.8678
7.2609,14.6887,2.2992
7.2612,9.2880,0.6490
7.2618,16.4133,2.9132
7.2623,15.8898,2.7331
7.2638,14.9821,2.4859
7.2642,7.5316,0.0970
7.2651,16.0718,3.0276
7.2652,17.8239,3.1334
7.2663,13.4317,1.7249
7.2665,17.1664,3.0754
7.2674,12.3862,1.3520
7.2674,12.8440,1.5476
7.2675,16.1155,2.7760
7.2678,15.7606,2.9131
7.2679,16.3152,2.9074
7.2680,16.0918,2.8487
7.2702,16.9582,3.1564
7.2722,14.8356,2.4949
7.2723,17.4545,3.2319
7.2726,17.4296,3.2162
7.2734,16.6359,3.1782
7.2742,16.4003,2.9591
7.2751,12.1360,1.7165
7.2754,17.3416,3.2494
7.2768,15.9984,2.8352
7.2779,16.5515,2.9174
7.2782,13.7161,1.8499
7.2784,14.0204,1.9808
7.2793,10.2111,0.7964
7.2803,9.5626,0.6912
7.2803,16.9358,3.0541
7.2805,8.2888,0.3747
7.2805,11.6896,1.1299
7.2813,14.2590,2.1187
7.2818,17.2276,2.9744
7.2822,13.1540,1.6122
7.2830,15.0943,2.4538
7.2830,9.7342,0.8384
7.2833,15.9881,2.7780
7.2835,15.4057,2.5376
7.2846,11.3100,1.0569
7.2850,11.3098,1.0829
7.2851,13.5183,1.7721
7.2853,17.1694,3.1669
7.2853,17.2830,3.1584
7.2856,17.7282,3.2725
7.2866,17.5529,3.1270
7.2870,16.7718,3.0783
7.2873,15.3344,2.5546
7.2876,17.8764,3.2678
7.2881,17.1907,3.0959
7.2885,8.6201,0.5161
7.2885,17.5543,3.4114
7.2888,13.9919,1.9278
7.2894,12.5577,1.4924
7.2898,14.2065,2.1393
7.2901,15.8134,2.7275
7.2906,15.1118,2.4016
7.2906,13.8230,1.8750
7.2908,14.7026,2.3120
7.2911,17.2288,3.2011
7.2917,15.2904,2.5240
7.2919,11.7335,1.2234
7.2920,16.2767,2.8881
7.2931,16.6810,2.9577
7.2931,17.2698,3.1460
7.2931,17.0975,3.2327
7.2932,14.5082,2.2056
7.2934,17.0661,3.1325
7.2936,15.0646,2.4346
7.2941,16.1983,2.8931
7.2941,17.2572,2.9857
7.2945,13.8716,1.9495
7.2962,7.7872,0.2567
7.2962,14.0378,2.0092
7.2962,16.5030,2.9487
7.2965,16.0618,3.1046
7.2967,14.3442,2.1503
7.2979,17.6776,3.1641
7.3006,16.5691,2.9174
7.3010,16.6059,3.1652
7.3012,15.4594,2.5334
7.3019,16.4141,2.9327
7.3020,14.1910,2.3946
7.3020,16.7696,2.8946
7.3022,17.3768,3.1892
7.3031,15.7956,2.7864
7.3044,16.0397,2.7735
7.3048,14.7779,2.6396
7.3061,17.5492,3.1903
7.3066,11.4385,1.1217
