Gmag,BP-RP
14.9820,0.8551
14.8655,0.8796
17.0632,1.1385
14.0444,1.1821
16.4071,0.9634
14.8718,0.8817
14.8952,0.8821
16.3681,0.9909
17.4790,1.2314
16.0811,0.9601
17.2081,1.2313
15.0961,0.8542
17.6433,1.2942
15.4065,0.8780
15.1417,0.9085
16.9370,1.0867
17.4202,1.4269
16.7715,1.0646
15.1206,0.8750
16.8402,1.1625
13.5950,1.2719
15.0973,0.8762
17.3712,1.4250
17.0048,1.1172
14.8946,0.8882
17.1090,1.1726
17.6420,1.2804
16.2971,0.9819
15.8517,0.8907
14.7568,0.9329
15.5287,0.9715
15.6683,0.8794
16.1495,1.0497
14.7544,0.9600
14.8522,1.0617
14.8927,1.1505
14.8160,0.9001
13.7483,0.6773
15.7425,0.8759
17.9167,1.6999
17.2574,1.1453
16.1464,0.9674
15.3803,0.8709
16.6119,1.0131
15.9462,0.9170
16.5778,1.0941
16.3822,0.9845
14.6833,1.2043
12.6623,1.3834
17.5788,1.4907
15.5535,0.8994
15.6828,0.8713
14.7061,1.2433
15.4365,0.8776
15.4196,0.9567
16.0695,0.9800
15.8960,0.9322
14.7594,0.9729
17.3327,1.2142
17.6850,1.3240
16.7469,1.1928
16.3215,1.0519
15.0713,0.8725
17.3046,1.4922
15.7730,0.9752
17.2257,1.2010
14.9142,0.9048
17.5501,1.3287
14.7536,0.9096
16.8203,1.1487
15.6206,0.8841
16.5971,1.2068
14.7541,0.6674
12.0881,1.3344
15.4122,0.8539
14.8626,0.9243
15.2112,0.8774
17.3959,1.2941
15.9853,0.9202
16.4233,1.2027
17.1574,1.1668
16.4726,1.1523
16.4625,0.9940
16.0079,0.9293
12.1231,1.3592
17.3622,1.1831
16.8317,1.3067
17.3187,1.2349
15.1054,0.8537
15.0164,0.8613
17.6467,1.3072
15.3415,0.8787
16.0065,1.0353
17.4495,1.2233
17.7356,1.3109
15.7010,0.8873
15.6302,0.8861
16.6760,1.0452
16.1446,0.9460
14.9223,1.1767
16.1341,0.9355
15.9666,1.0337
17.1166,1.1443
16.0618,0.9379
15.8445,0.9731
16.5482,1.0776
16.8694,1.0756
17.4806,1.2552
14.9256,1.1053
17.6022,1.2293
16.2060,0.9753
15.7805,0.9107
16.7876,1.1374
15.0783,0.8762
15.4641,0.8990
16.8536,1.1208
17.8282,1.4289
16.5839,1.0324
15.3029,0.8490
15.8391,0.8867
15.1025,0.8532
17.0149,1.1213
17.2000,1.1775
16.1798,0.9468
14.9114,0.8653
15.6446,0.8768
17.2357,1.2540
15.0397,0.8634
17.6624,1.5001
15.6344,0.9833
17.6075,1.2870
16.6418,1.0597
15.1875,0.8871
16.2667,-0.3049
17.0525,1.1213
17.8505,1.3700
17.1668,1.3558
16.4782,1.1189
15.2959,0.8724
16.2543,0.9776
17.7008,1.3078
17.3293,1.1973
15.9020,0.8981
15.8942,1.0292
14.6579,0.8639
15.0037,0.7771
14.7925,0.8963
14.7283,0.9394
16.6665,1.0594
17.1527,1.1968
13.4979,0.8095
17.8526,1.3881
16.6919,1.2163
17.3312,1.2259
14.2437,0.6678
14.7498,0.9756
15.5356,0.8950
13.6639,1.2316
17.0641,1.1455
15.8110,0.9029
17.3234,1.1901
15.7069,0.9184
14.7640,0.9758
14.6583,1.1552
17.0843,1.2949
15.8226,0.9204
15.3958,0.8920
16.3939,0.9554
17.1836,1.1662
15.9642,0.9211
17.1595,1.2057
17.3433,1.3916
15.4468,0.8684
16.7689,1.0758
13.2597,0.4512
16.2214,0.9603
14.0808,0.9004
17.9463,1.3635
16.5421,1.1141
17.0730,1.1848
15.7978,1.0086
16.4647,1.0389
17.7264,1.3081
14.7374,0.8656
16.4294,0.9842
16.3119,0.9940
16.5125,1.1057
17.5045,1.3543
16.1378,0.9532
17.4183,1.2162
16.7847,1.1079
16.7740,1.1065
15.3104,0.8672
15.7529,0.8894
15.5535,0.8787
15.9727,0.9304
16.1890,0.9550
17.5126,1.2449
15.7487,0.8933
17.5030,1.3005
15.4109,0.8852
16.1416,0.9359
17.3223,1.3982
14.7463,1.0137
16.6608,1.0727
16.1240,1.0351
15.7041,0.9536
15.3325,0.8724
17.8894,1.3408
15.8881,0.9127
16.0844,0.9323
12.0005,1.3529
17.9621,1.6347
14.7997,0.9116
15.8550,1.2290
14.7798,0.7320
12.5741,1.3798
16.3607,1.0190
16.8268,1.2597
16.9381,1.1348
16.3522,1.1269
13.7787,1.1800
14.8409,1.1060
15.6260,0.8963
15.5775,0.8981
14.7569,0.9068
14.3878,1.3833
17.0465,1.1100
17.8321,1.3415
17.1017,1.1578
15.3048,0.8579
17.4832,1.2507
15.6299,0.8561
14.8860,1.1532
11.9320,1.4601
17.3717,1.2039
13.8154,1.3743
14.9747,0.8589
16.2280,0.9449
16.7492,1.0529
16.6469,1.0288
14.7095,0.8862
16.8177,1.1645
11.7619,1.4705
15.0410,0.9442
17.3993,1.2066
16.5764,1.0691
15.8797,1.0108
17.6189,1.1871
16.6445,1.0157
16.8830,1.0981
14.9091,1.1298
15.7924,1.1375
12.2552,1.4241
15.1771,0.8526
15.2378,0.8694
15.9342,0.8989
11.6649,1.3263
17.4883,1.2518
17.0052,1.1421
17.8230,1.3271
14.8187,0.8732
15.3603,0.8741
16.5138,0.9837
17.6046,1.2899
16.8309,1.0751
15.7730,0.9158
16.7351,1.0881
15.1393,0.8989
15.2655,0.8881
15.8240,1.0210
17.1789,1.1714
17.3602,1.1998
17.7336,1.3233
15.0256,0.9088
16.1199,0.9542
15.6111,0.9711
14.7962,0.9864
17.0247,1.1012
15.3786,0.8675
15.2975,0.9159
17.9949,1.4058
16.3883,1.0000
15.1290,0.9285
17.4835,1.4597
17.0901,1.1453
15.5721,0.8942
14.2803,1.2382
15.2677,0.8572
17.3647,1.3744
16.5516,1.0157
17.3188,1.1864
16.3295,0.9891
16.4861,1.0008
16.4296,0.9870
17.1830,1.2912
14.9226,0.8717
16.9361,1.1676
17.2259,1.2025
17.8973,1.3638
16.5870,1.0695
16.5407,1.0630
15.4063,0.8467
15.4295,0.8739
15.8551,0.9192
16.8038,1.0655
17.9531,1.4320
15.9379,0.9193
12.1196,1.3438
16.7849,1.0549
17.4368,1.2138
15.3566,0.8483
17.2753,1.2215
17.8067,1.3403
16.2027,0.9650
16.8532,1.0941
17.9054,1.6749
15.0009,0.9600
16.5447,1.0451
14.9229,1.1102
15.6859,0.9057
14.7889,0.9382
17.5350,1.4832
17.9436,1.2980
14.6127,0.9012
15.4978,0.8686
16.2395,0.9946
14.9594,0.8540
15.2001,0.8721
17.4041,1.1809
16.4695,1.0791
17.9277,1.4320
15.3811,0.8624
16.2803,1.0039
16.8040,1.0710
16.5034,1.1488
16.1440,0.9645
15.7907,0.9106
15.1375,0.8813
17.5713,1.3001
17.1922,1.1687
14.6071,0.8662
16.8897,1.0762
15.5238,0.9737
14.9510,0.8641
16.4340,0.9837
15.9919,0.9402
17.6621,1.3054
17.4731,1.2380
14.6998,1.2060
17.0404,1.1083
16.7843,1.0810
12.3836,1.4285
17.8701,1.3532
14.5387,1.2008
17.7206,1.3254
17.3377,1.2048
15.1753,0.8718
13.0798,1.3494
15.1708,0.8634
16.2825,1.0557
16.3625,0.9818
14.7837,0.9342
14.8535,1.1801
16.2624,0.9789
16.0642,0.9525
16.1947,0.9595
14.9388,1.2178
17.9720,1.4551
15.3264,0.8730
16.1486,0.9895
15.4930,0.8988
15.5619,0.9146
16.8627,1.0874
15.2577,0.8889
15.1503,0.9335
16.9980,1.1055
17.2456,1.1721
17.2496,1.3559
15.1993,0.9150
14.2025,1.2191
14.9145,0.8984
17.3731,1.2326
15.6331,0.8359
16.1377,0.9330
17.7938,1.3374
16.7917,1.2522
16.9681,1.0855
14.6822,0.9226
14.9559,0.9244
15.3214,0.9296
15.5939,1.0034
15.8767,0.9895
15.2827,0.9332
17.8786,1.3905
17.5691,1.2801
15.2217,0.8719
15.3979,0.8943
16.9734,1.1339
