claster,l,b
NGC_104,306,-45
NGC_1851,244,-35
NGC_2808,282,-11
NGC_3201,278,9
NGC_4833,304,-8
NGC_5139,310,-50
M_3,41,78
M_5,4,47
NGC_5986,337,13
M_80,353,19
M_4,351,15
M_13,59,41
M_12,16,26
NGC_6235,359,13
M_10,15,22
M_62,354,7
M_19,357,9
M_92,68,35
NGC_6352,342,-8
NGC_6388,346,-7
NGC_6397,338,-13
NGC_6441,354,-6
NGC_6541,350,-12
M_28,8,-6
M_22,10,-8
NGC_6723,0,-17
NGC_6752,337,-26
M_55,9,-24
M_15,65,-27
M_2,54,-36
